Mixed_Sentence,English_Terms
الفريق يحتاج feedback واضح على العرض الحين!,feedback
أرسلت الدعوة على Outlook للحضور.,Outlook
عندنا كول على Zoom الساعة ثلاثة.,Zoom
الشركة تستخدم Workday لإدارة الموارد البشرية.,Workday
سويت reschedule للاجتماع بسبب ظرف طارئ.,reschedule
المشروع لازم يكون aligned مع أهداف الإدارة.,aligned
طلب مني المدير أسوي recap للاجتماع.,recap
الفريق يحتاج ينسق عن طريق kickoff meeting.,kickoff meeting
سويت approve على الطلب المالي.,approve
الشركة سوت onboarding سريع للموظف الجديد.,onboarding
لازم نرفع الملف على SharePoint قبل الظهر.,SharePoint
طلبوا منا تحديث الـ roadmap للربع الجاي.,roadmap
المدير أرسل تعليقاته في الـ document مباشرة.,document
متى موعد الـ performance review نهاية الشهر؟,performance review
سويت minutes للاجتماع وأرسلتها للفريق.,minutes
الإدارة طلبت budget جديد للمشروع.,budget
الفريق يشتغل بنظام hybrid بين المكتب والبيت.,hybrid
أرسلت الـ invoice للعميل بعد التسليم.,invoice
لازم نسوي stakeholder alignment قبل الإطلاق.,stakeholder alignment
المشروع تأخر بسبب مشكلة في الـ workflow.,workflow
جهزوا الـ slides للعرض قبل بكرة!,slides
الاجتماع تحول لـ virtual بسبب ظروف الطقس.,virtual
سويت sync سريع مع الفريق قبل الاجتماع الكبير.,sync
الشركة بدأت تطبق نظام OKR لقياس الأداء.,OKR
أرسلت reminder للفريق قبل الديدلاين بيوم.,reminder
عندنا town hall مع الإدارة العليا بكرة.,town hall
لازم أشحن الجوال الـ battery خلصت.,battery
الـ WiFi مقطوع من الصبح، ليش محد يدري السبب؟!,WiFi
حملت الـ app الجديد وحذفت القديم.,app
سويت restart للراوتر عشان يرجع النت.,restart
لازم أسوي update للنظام قبل النوم.,update
الشاشة صارت تعلق لازم أسوي reset.,reset
وصلت سماعاتي بالـ Bluetooth بسهولة.,Bluetooth
الـ notification ما توقف من كثر التطبيقات، أعصابي تعبت!,notification
نسيت أسوي backup للصور قبل ما يضيع الجوال.,backup
الجوال يحتاج تحديث للـ software بسرعة.,software
حطيت كل الملفات على الـ cloud عشان أضمنها.,cloud
الـ USB ما يشتغل لازم أجرب منفذ ثاني.,USB
سويت factory reset للابتوب بعد ما تعطل.,factory reset
الـ charger تبعي انكسر ولازم أشتري جديد.,charger
فعّلت الـ dark mode عشان يريح عيني بالليل.,dark mode
الـ screen protector انخدش من كثر الاستخدام.,screen protector
لازم أسوي pair بين الساعة والجوال.,pair
الجهاز يحتاج تفريغ الـ cache عشان يشتغل أسرع.,cache
سويت hard reset بعد ما تعلق الجهاز تمامًا.,hard reset
الطابعة ما توصل بالـ WiFi رغم المحاولات.,WiFi
الـ storage خلص لازم أمسح صور قديمة.,storage
الجوال يسخن وقت الـ charging بشكل غريب.,charging
سويت sync بين الجوال واللابتوب.,sync
الجهاز يدعم fingerprint وأنا أفضله عن الرقم السري.,fingerprint
سوّ hard reboot الحين بعد ما تجمد النظام!,reboot
الـ signal ضعيف داخل المبنى دايمًا.,signal
سويت update للـ firmware تبع الراوتر.,firmware
الجهاز فيه صوت غريب من الـ speaker.,speaker
سويت calibration للشاشة بعد ما صارت غير دقيقة.,calibration
الجوال يدعم fast charging وهذا شيء ممتاز.,fast charging
الـ microphone ما يشتغل زين في المكالمات.,microphone
لازم أسوي format للفلاشة قبل الاستخدام.,format
الجهاز أصلاً معطل من كثر التحديثات، لازم أسوي rollback.,rollback
الساعة الذكية تعطيني notification كل ما توصلني رسالة.,notification
عندي مشكلة في الـ GPS ما يحدد موقعي صح.,GPS
الجوال دايم يسوي lag وقت فتح التطبيقات.,lag
سويت disable للإشعارات المزعجة.,disable
الجهاز يحتاج driver جديد عشان يشتغل الطابعة.,driver
لازم أسوي uninstall للتطبيقات اللي ما أستخدمها.,uninstall
الشاشة فيها resolution عالية جدًا وواضحة.,resolution
طلبت Uber عشان أروح المطار، بس ليش تأخر كذا؟,Uber
قعدت في Starbucks أذاكر شوي.,Starbucks
اشتركت في Netflix عشان أتابع المسلسل الجديد.,Netflix
سمعت بلايليست جديدة على Spotify.,Spotify
دفعت باستخدام Apple Pay بدل الكاش.,Apple Pay
حطيت فلوس في الـ wallet الإلكتروني.,wallet
طلبت أكل عن طريق HungerStation.,HungerStation
اشتريت اشتراك جديد في Netflix للعائلة.,Netflix
عندي discount كبير على الاشتراك السنوي.,discount
حجزت رحلتي عن طريق تطبيق Almosafer.,Almosafer
دفعت الفاتورة باستخدام STC Pay.,STC Pay
الكافيه يقدم delivery للمنازل القريبة.,delivery
طلبت Careem عشان أوصل السوق بسرعة.,Careem
اشتركت في gym جديد قريب من البيت.,gym
سويت subscription شهري لتطبيق التمارين.,subscription
جربت وجبة جديدة من مطعم يقدم fusion food.,fusion food
حجزت appointment عند الدكتور عن طريق التطبيق.,appointment
الفندق يقدم checkout متأخر إذا طلبت.,checkout
اشتريت gift card لصديقتي بمناسبة تخرجها.,gift card
الرحلة كانت full board فيها كل الوجبات.,full board
عندي loyalty points أقدر أستبدلها بخصم.,loyalty points
اشتركت في تطبيق meditation عشان أرتاح.,meditation
طلبت قهوتي بالـ oat milk اليوم.,oat milk
المطعم يقدم عروض happy hour بعد الظهر، ما أحلاها!,happy hour
اشتريت اشتراك premium عشان ما أشوف إعلانات.,premium
حجزت طاولة عن طريق تطبيق reservation.,reservation
الرحلة كانت economy بس الخدمة كانت زينة.,economy
اشتركت في تطبيق يعطيني cashback على المشتريات.,cashback
عندي membership في نادي رياضي جديد.,membership
جربت مطعم يقدم brunch يوم الجمعة.,brunch
اشتريت تذكرة concert لحفلة الفنان المفضل عندي.,concert
الفندق فيه spa رائع أخذت فيه جلسة أمس.,spa
عندي trial مجاني لتطبيق التوصيل لمدة أسبوع.,trial
اشتركت في خدمة streaming جديدة بالبيت.,streaming
اطلب وجبة takeaway بعد الشغل وريّح نفسك!,takeaway
الرحلة تضمنت layover في دبي لمدة ساعتين.,layover
حجزت جلسة massage بعد أسبوع طويل.,massage
اشتريت اشتراك بونصف سعر بفضل promo code.,promo code
المقهى يقدم قهوة specialty فيها نكهات مختلفة.,specialty
سويت check-in مبكر عن طريق التطبيق.,check-in
حصلت على voucher مجاني بعد الشكوى.,voucher
اشتريت بطاقة gift عشان أهديها لأختي.,gift
عندي reward points من بطاقة الائتمان.,reward points
جربت تطبيق جديد يعطيني daily deals.,daily deals
اشتركت في خدمة delivery مجانية لمدة شهر.,delivery
حطيت المنتج في الـ cart وما كملت الطلب.,cart
وصلت لمرحلة الـ checkout ، بس ليش الموقع يتوقف كل مرة؟,checkout
استخدمت coupon عشان أوفر شوي بالسعر.,coupon
صار sale كبير على المتجر اليوم.,sale
الشحن كان مجاني بسبب عرض shipping.,shipping
قريت review قبل ما أشتري المنتج.,review
المنتج عليه rating عالي من المستخدمين.,rating
طلبت return للمنتج لأنه ما عجبني.,return
استخدمت promo code وخصم علي كثير.,promo code
تابعت الـ order من التطبيق مباشرة.,order
المنتج نفذ من الـ stock بسرعة، يا خسارة!,stock
اشتريت من موقع Noon عرضهم زين اليوم.,Noon
سويت compare بين المنتجات قبل الشراء.,compare
الـ delivery وصل متأخر عن الموعد المحدد.,delivery
أضفت المنتج للـ wishlist عشان أشتريه لاحقًا.,wishlist
البائع رد على استفساري بسرعة عن طريق chat.,chat
اشتريت من Amazon وكان التوصيل سريع.,Amazon
المنتج جاء بحالة damaged فطلبت استرجاع.,damaged
استخدمت filter عشان ألقى مقاسي بسرعة.,filter
سويت refund للطلب لأنه تأخر كثير.,refund
المتجر يقدم cashback إذا دفعت بالبطاقة.,cashback
تابعت tracking number عشان أعرف وين الطرد.,tracking number
اشتريت من متجر Shein عرضهم كان مغري.,Shein
سويت subscribe للنشرة عشان أعرف بالعروض.,subscribe
المنتج له warranty لمدة سنة كاملة.,warranty
الموقع يقدم installment بدون فوائد.,installment
سويت compare بين سعر المتجر والمتجر المنافس.,compare
المنتج معروض بخصم flash sale لساعات محدودة.,flash sale
أضفت بطاقتي في الـ payment method.,payment method
الطلب صار confirmed بعد ما دفعت.,confirmed
المتجر يقدم free shipping فوق مبلغ معين.,free shipping
سويت return للمنتج بعد ما جربته يوم.,return
البائع أرسل invoice مع الطرد.,invoice
الموقع فيه bug ما يخليني أكمل الدفع، محبط جدًا!,bug
سويت order من تطبيق Jarir للأدوات المكتبية.,"Jarir, order"
سويت checkout كضيف بدون تسجيل حساب.,checkout
المنتج له variant بألوان مختلفة.,variant
حصلت على voucher بعد أول عملية شراء.,voucher
الموقع يعرض بيانات المنتج بشكل detailed جدًا.,detailed
حجزت slot توصيل الساعة أربعة عصرًا.,slot
المتجر يقدم loyalty program للعملاء المميزين.,loyalty program
أضفت رمز discount code قبل الدفع.,discount code
الطلب انلغى تلقائيًا بسبب مشكلة في الـ payment.,payment
المتجر يقدم exchange مجاني خلال ١٤ يوم.,exchange
سويت browse للمنتجات قبل ما أقرر أشتري.,browse
أرسلت له رسالة على WhatsApp ، ليش ما رد لين الحين؟,WhatsApp
وصلتني SMS من البنك تأكد العملية.,SMS
سويت screenshot للمحادثة قبل ما تنحذف.,screenshot
حملت تطبيق جديد من الـ Play Store.,Play Store
سويت install للتطبيق وواجهت مشكلة.,install
سويت uninstall للتطبيق لأنه يبطئ الجوال.,uninstall
الجوال يعطيني notification كل شوي.,notification
سويت update للتطبيق عشان أحل المشكلة.,update
أرسلت الملف عن طريق Bluetooth بسرعة.,Bluetooth
حفظت الرقم في الـ contacts مباشرة.,contacts
سويت backup لبيانات الواتساب على الـ cloud.,"backup, cloud"
الجوال ما يستقبل notification من التطبيق.,notification
سويت mute لمجموعة الواتساب المزعجة.,mute
أرسلت voice note بدل ما أكتب رسالة.,voice note
حذفت الرسائل القديمة عشان أفضي storage.,storage
سويت forward للرسالة لصديقي.,forward
الجوال يدعم dual SIM وهذا يسهل علي كثير.,dual SIM
سويت restore للنسخة الاحتياطية بعد ما فقدت البيانات.,restore
الجوال يحتاج تحديث لنظام iOS الجديد.,iOS
حملت تطبيق Careem وسجلت حسابي.,Careem
عندي مشكلة في الـ sync بين الجوال والإيميل.,sync
الجوال يعطيني تنبيه low battery باستمرار، يا ربي!,low battery
سويت pair بين السماعة والجوال بسهولة.,pair
سويت clear للـ cache عشان يشتغل أسرع.,cache
أرسلت الموقع عن طريق location share.,location share
الجوال يدعم face ID بدل البصمة.,face ID
سويت block لرقم مزعج يتصل باستمرار.,block
حملت آخر نسخة من تطبيق Snapchat.,Snapchat
الجوال صار يسوي freeze بسبب كثرة التطبيقات.,freeze
سويت restart سريع للجوال بعد ما تعلق.,restart
الرسالة ما توصل بسبب ضعف الـ signal.,signal
سويت export لجهات الاتصال قبل تغيير الجوال.,export
الجوال يدعم NFC للدفع السريع.,NFC
سويت verify لرقمي بعد ما نزلت التطبيق.,verify
الرسالة الصوتية ما توصل بسبب مشكلة في upload.,upload
الجوال طلب مني permission قبل ما يفتح الكاميرا.,permission
سويت download لكل الصور قبل تغيير الجوال.,download
الجوال يدعم split screen للتطبيقين مع بعض.,split screen
سويت report لحساب مزيف يتصل بالناس.,report
الجوال ما يفتح التطبيق إلا بعد update إجباري.,update
فعّل الـ hotspot عشان تشارك النت مع جهازك الثاني!,hotspot
الجوال يدعم wireless charging وهذا يريحني كثير.,wireless charging
سويت transfer للملفات بين الجوالين بسرعة.,transfer
الجوال أعطاني تحذير storage almost full.,storage
سويت setup لبريدي الإلكتروني على الجوال الجديد.,setup
