Arabic_Saudi_Sentence,English_Terms,Word_Frequency
كل يوم اثنين أسوي burpees قبل التمرين الرئيسي، عشان أسخن العضلة صح.,burpees,burpees(1)
نزّلت episode وبعدها animation ، قعدة سهر كاملة ما ندمت عليها أبدًا.,"episode, animation","episode(1), animation(1)"
بعد الدوام مع صاحبي طلبنا bubble tea وقعدنا نتكلم لين المغرب وما حسينا بالوقت أبدًا.,bubble tea,"bubble(1), tea(1)"
شفت تخفيضات كبيرة على Tesla في المعرض هالشهر، وفكرت جديًا إني أستبدل سيارتي.,Tesla,Tesla(1)
شفت HBO الجديد وصدمت من نهايته، وقعدت أفكر فيه لين ثاني يوم.,HBO,HBO(1)
الشباب كلهم يحكون عن thriller هالأيام، وصار حديث كل تجمع نقعده.,thriller,thriller(2)
احنا قعدنا نتفرج documentary كامل بليلة وحدة، وما حسينا بالوقت وهو يمر.,documentary,documentary(1)
في تخرجي طلبت donut وكيكة من نفس المطعم لأنهم أفضل مكان جربته بصراحة.,donut,donut(1)
الفطور كان فيه pasta والعشاء mac&cheese ، يوم أكل كامل ما نسيته بسهولة.,"pasta, mac&cheese","pasta(1), mac&cheese(1)"
اشتغلت full-time من البيت طول الأسبوع الماضي، وطلعت إنتاجيتي أحسن من المكتب.,full-time,full-time(1)
قعدت أسمع soundtrack طول الطريق ونسيت الزحمة، لأنه كان مشوق مرة.,soundtrack,soundtrack(1)
طلب مني المدير أحضر training بخصوص المشروع الجديد، رغم إني كنت مشغول ذاك اليوم.,training,training(1)
بعد الدوام مع صاحبي طلبنا brownie وقعدنا نتكلم لين المغرب وما حسينا بالوقت أبدًا.,brownie,brownie(1)
الفريق عندنا يحتاج teamwork أكثر عشان نخلص المشروع بوقته، لأن كل واحد يشتغل لحاله هالفترة.,teamwork,teamwork(1)
بابا اشترى تلفزيون LG جديد للصالة، وصارت السهرات العائلية أحلى بكثير.,LG,LG(1)
أمس طلبت bubble tea من المطعم اللي جنب البيت وكان لذيذ مرة، حتى إني رجعت أطلبه اليوم كمان.,bubble tea,"bubble(2), tea(2)"
الشباب طلبوا chai latte وكل واحد أخذ نصيبه بسرعة قبل لا يبرد ويفقد طعمه.,chai latte,"chai(1), latte(1)"
المدير حاول يقنعني أسحب الـ resignation بس قراري كان نهائي من البداية.,resignation,resignation(1)
احنا وصاحباتي طلبنا popcorn وقعدنا نتصور له قبل ما ناكل عشان نحفظ الذكرى.,popcorn,popcorn(1)
كان عندي appraisal وبعده على طول budget ، يوم مرهق ما توقعت أخلصه بهالسرعة.,"appraisal, budget","appraisal(2), budget(1)"
المدرب زاد لي عدد bicep curls هالأسبوع، وحسيت بتحدي واضح من أول حصة.,bicep curls,"bicep(1), curls(1)"
بعد الدوام رحت 66 Cups آخذ شي حلو قبل لا أرجع البيت، عشان أكافئ نفسي على يوم طويل.,66 Cups,"66(1), Cups(1)"
الشركة الجديدة عطتني onboarding واضح من أول أسبوع، وسهلت علي أندمج بسرعة مع الفريق.,onboarding,onboarding(1)
لعبنا golf مساء أمس واستمتعنا مرة، وقررنا نصير نلعبه كل أسبوع من الحين.,golf,golf(1)
أخوي مهووس بألعاب PlayStation يسهر عليها لين الفجر، وما يوقف إلا لما يتعب فعلًا.,PlayStation,PlayStation(1)
نزلت آخذ قهوتي من Claro قبل لا أدخل الاجتماع، عشان أصحى شوي وأركز أكثر.,Claro,Claro(1)
لازم أوصل Building 13 قبل التاسعة عشان ألقى موقف فاضي، وإلا بدور نص ساعة أدور مكان.,Building 13,"Building(1), 13(1)"
حضرت match مع أخوي وكانت أجواء حماسية، رغم إن المدرجات كانت مزدحمة مرة.,match,match(1)
عندي workshop الساعة عشرة الصبح ولازم أجهز له من الحين، عشان أطلع بأحسن صورة قدامهم.,workshop,workshop(1)
جلست أراجع Disney+ قبل ما أطلع رأيي فيه، عشان أكون منصف في التقييم.,Disney+,Disney+(1)
احنا سوينا استراحة قصيرة وطلعنا نتغدى في Costa ، وقعدنا نضحك على مواقف الأسبوع.,Costa,Costa(1)
أختي انضمت لنادي judo قريب من بيتنا، وصارت تروح ثلاث مرات بالأسبوع.,judo,judo(2)
أختي رايحة Avenues كل نهاية أسبوع مع صديقاتها، صارت شبه روتين ثابت عندها.,Avenues,Avenues(1)
الفريق كله يتجمع في Dunkin وقت البريك الصبحي، وصارت هذي عادتنا كل يوم تقريبًا.,Dunkin,Dunkin(1)
شفت premiere الجديد وصدمت من نهايته، وقعدت أفكر فيه لين ثاني يوم.,premiere,premiere(1)
احنا سوينا tricep extensions مع بعض عشان نحمس بعض، وضحكنا كثير من كثر التعب.,tricep extensions,"tricep(1), extensions(1)"
صاحبي مهووس بمنتجات Samsung ما يشتري غيرها أبدًا، وكل جهاز عنده من نفس الماركة.,Samsung,Samsung(1)
احنا رحنا The Zone عشان نتفرج على السينما الجديدة هناك، وطلعت التجربة أحسن من المتوقع.,The Zone,"The(1), Zone(1)"
سويت tricep extensions و stretching في نفس الجلسة، تعبت مرة بس حسيت بإنجاز حقيقي.,"tricep extensions, stretching","tricep(2), extensions(2), stretching(1)"
المدرب علمني أتمرن على barbell بالشكل الصحيح، عشان ما أأذي ظهري أو ركبتي.,barbell,barbell(1)
راجعت الـ contract مرتين قبل ما أرسله للإدارة، عشان أتأكد ما فيه أي خطأ.,contract,contract(1)
زميلي شرح لي معنى streaming في عالم الأفلام، وصرت أفهم كثير أشياء ما كنت أعرفها.,streaming,streaming(1)
الشباب طلبوا chocolate lava cake وكل واحد أخذ نصيبه بسرعة قبل لا يبرد ويفقد طعمه.,chocolate lava cake,"chocolate(1), lava(1), cake(1)"
قارنا بين محلات First Avenue و Uptown قبل ما نقرر وين نشتري، وأخيرًا اخترنا الأقرب لنا.,"First Avenue, Uptown","First(1), Avenue(1), Uptown(1)"
أبوي وداني Avenues عشان أشتري ملابس العيد، وقعدنا فيه أكثر مما خططنا.,Avenues,Avenues(2)
طلبت قهوة من Costa وقعدت أراجع الإيميلات المتأخرة، لين ما خلصت كل شي كان متراكم.,Costa,Costa(2)
الـ project تأخر بسبب مشاكل في التنسيق بين الفرق، وحاولنا نلحق الوقت الضائع.,project,project(1)
دخلت من A6 لأنه أقرب بوابة للموقف اليوم، وكسبت وقت كنت محتاجه للاجتماع.,A6,A6(1)
أبوي وداني Localizer عشان أشتري ملابس العيد، وقعدنا فيه أكثر مما خططنا.,Localizer,Localizer(1)
كل ما أروح ذاك الكافيه أطلب tiramisu لأنه مميز عندهم ومختلف عن أي مكان ثاني.,tiramisu,tiramisu(1)
صاحبي مهووس بمنتجات Vans ما يشتري غيرها أبدًا، حتى لو طلعت له أغلى بكثير.,Vans,Vans(1)
في تخرجي طلبت brownie وكيكة من نفس المطعم لأنهم أفضل مكان جربته بصراحة.,brownie,brownie(2)
حجزت حصة taekwondo جديدة في النادي، وتفاجأت إن مستواي أحسن مما كنت أتوقع.,taekwondo,taekwondo(2)
زملائي حجزوا طاولة في مطعم داخل Elements للعشاء، وقعدنا نتكلم عن الشغل لين وقت متأخر.,Elements,Elements(1)
سويت cable machine و warm up في نفس الجلسة، تعبت مرة بس حسيت بإنجاز حقيقي.,"cable machine, warm up","cable(1), machine(1), warm(1), up(1)"
أجلنا الـ deploy بسبب مشكلة طارئة في النظام، وأعدنا جدولته لبعد يومين.,deploy,deploy(1)
شفت مراجعات كثيرة عن thriller قبل لا أشوفه، وأغلبها كانت إيجابية بشكل لافت.,thriller,thriller(3)
صاحبتي تشتغل في A3 من أول الأسبوع الماضي، وتقول الجو هناك مختلف عن مبناها القديم.,A3,A3(1)
دخلت من A2 لأنه أقرب بوابة للموقف اليوم، وكسبت وقت كنت محتاجه للاجتماع.,A2,A2(1)
صاحبتي تشتغل في A5 من أول الأسبوع الماضي، وتقول الجو هناك مختلف عن مبناها القديم.,A5,A5(1)
قعدنا نناقش HBO بعد ما خلصناه مباشرة، وكل واحد فينا له رأي مختلف.,HBO,HBO(2)
زميلي مكتبه في T7 وأنا في Sudra Tea ، فنتقابل بس وقت الغدا لأن المسافة بينا بعيدة شوي.,"T7, Sudra Tea","T7(1), Sudra(1), Tea(1)"
شفت مراجعات كثيرة عن documentary قبل لا أشوفه، وأغلبها كانت إيجابية بشكل لافت.,documentary,documentary(2)
صاحبتي تشتغل في T1 من أول الأسبوع الماضي، وتقول الجو هناك مختلف عن مبناها القديم.,T1,T1(1)
الشباب راحوا Jax District يتفرجون على الفعاليات الجديدة اللي أعلنوا عنها من أسبوع.,Jax District,"Jax(1), District(1)"
المكتب الجديد تبعي صار في T1 بدل المبنى القديم، والانتقال كان أسهل مما توقعت.,T1,T1(2)
عندي presentation الساعة عشرة الصبح ولازم أجهز له من الحين، عشان أطلع بأحسن صورة قدامهم.,presentation,presentation(1)
حجزنا ملعب padel مع الشباب نهاية الأسبوع، وضحكنا أكثر مما لعبنا بصراحة.,padel,padel(1)
طلبت قهوة من Starbucks وقعدت أراجع الإيميلات المتأخرة، لين ما خلصت كل شي كان متراكم.,Starbucks,Starbucks(1)
دخلت من A3 لأنه أقرب بوابة للموقف اليوم، وكسبت وقت كنت محتاجه للاجتماع.,A3,A3(2)
أبوي وداني Centria عشان أشتري ملابس العيد، وقعدنا فيه أكثر مما خططنا.,Centria,Centria(1)
أختي انضمت لنادي hiking قريب من بيتنا، وصارت تروح ثلاث مرات بالأسبوع.,hiking,hiking(1)
سوينا deploy للمشروع الجديد بعد أسبوع اختبار كامل، وكل شي اشتغل بدون مشاكل.,deploy,deploy(2)
حدثت الـ resume تبعي قبل ما أقدم على الوظيفة، عشان يعكس آخر خبراتي بدقة.,resume,resume(1)
جلست أراجع season finale قبل ما أطلع رأيي فيه، عشان أكون منصف في التقييم.,season finale,"season(1), finale(1)"
احنا سوينا sets مع بعض عشان نحمس بعض، وضحكنا كثير من كثر التعب.,sets,sets(1)
نزّلت Marvel وبعدها series ، قعدة سهر كاملة ما ندمت عليها أبدًا.,"Marvel, series","Marvel(1), series(1)"
الفريق كله يتجمع في Five Elephants وقت البريك الصبحي، وصارت هذي عادتنا كل يوم تقريبًا.,Five Elephants,"Five(1), Elephants(1)"
رحنا مطعم جديد بالحي وجربنا pasta لأول مرة، وصراحة فاق توقعاتي بشكل واضح.,pasta,pasta(2)
حملت playlist عشان أسمعه وأنا سايق للشغل، وصار جزء من روتيني الصباحي.,playlist,playlist(1)
أمي سوت tacos على طريقتها الخاصة وصار ألذ من أي مطعم مشهور جربناه من قبل.,tacos,tacos(1)
أختي انضمت لنادي taekwondo قريب من بيتنا، وصارت تروح ثلاث مرات بالأسبوع.,taekwondo,taekwondo(3)
عندي قطعة من Zara بس أفكر أبدلها بواحدة من Pull&Bear هالسنة، عشان أجرب شي مختلف شوي.,"Zara, Pull&Bear","Zara(1), Pull&Bear(1)"
بعد الشغل رحت Centria أمشي شوي وأصفي ذهني، لأن يومي كان طويل ومتعب.,Centria,Centria(2)
تعبت من burpees بس حسيت بفرق واضح بعدها، ولاحظت تحسن في قوتي العامة.,burpees,burpees(2)
أجلنا الـ training لأن المدير كان مسافر هالأسبوع، وحددنا موعد جديد بعد رجوعه.,training,training(2)
المدير طلب نجتمع في كافيه داخل Localizer بدل المكتب عشان يغير جو الاجتماع شوي.,Localizer,Localizer(2)
ما توقعت إن Marvel بيعجبني كذا لين جربته، والحين صار من المفضلة عندي.,Marvel,Marvel(2)
أمي سوت frappe على طريقتها الخاصة وصار ألذ من أي مطعم مشهور جربناه من قبل.,frappe,frappe(1)
طلب مني المدير أحضر interview بخصوص المشروع الجديد، رغم إني كنت مشغول ذاك اليوم.,interview,interview(1)
سويت HIIT اليوم وحسيت بتعب واضح، بس النتيجة كانت تستاهل التعب.,HIIT,HIIT(1)
احنا رحنا Mall of Arabia عشان نتفرج على السينما الجديدة هناك، وطلعت التجربة أحسن من المتوقع.,Mall of Arabia,"Mall(1), of(1), Arabia(1)"
وقفت السيارة عند T6 ومشيت للمكتب على طول، لأن كل الموقف القريب كان مليان.,T6,T6(1)
أبوي وداني Kingdom Centre عشان أشتري ملابس العيد، وقعدنا فيه أكثر مما خططنا.,Kingdom Centre,"Kingdom(1), Centre(1)"
خلصت reps وقعدت أستريح خمس دقايق بس، لأن التمرين كان مكثف أكثر من المعتاد.,reps,reps(1)
شفت Shahid VIP الجديد وصدمت من نهايته، وقعدت أفكر فيه لين ثاني يوم.,Shahid VIP,"Shahid(1), VIP(1)"
عندي قطعة من BMW بس أفكر أبدلها بواحدة من Nissan هالسنة، عشان أجرب شي مختلف شوي.,"BMW, Nissan","BMW(2), Nissan(1)"
قرأت عن streaming في مقال ونال اهتمامي كثير، فبديت أدور معلومات أكثر عنه.,streaming,streaming(2)
رحنا KAFD عشان نتمشى ونشوف العروض الجديدة، وقعدنا هناك لين وقت متأخر من الليل.,KAFD,KAFD(2)
خلصت tricep extensions وقعدت أستريح خمس دقايق بس، لأن التمرين كان مكثف أكثر من المعتاد.,tricep extensions,"tricep(3), extensions(3)"
وقفت السيارة عند Building 13 ومشيت للمكتب على طول، لأن كل الموقف القريب كان مليان.,Building 13,"Building(2), 13(2)"
أرسلت feedback للعميل وانتظرت رده طول اليوم، بس ما جاني رد إلا قبل الدوام.,feedback,feedback(1)
دخلت من Building 13 لأنه أقرب بوابة للموقف اليوم، وكسبت وقت كنت محتاجه للاجتماع.,Building 13,"Building(3), 13(3)"
المدير طلب نجتمع في كافيه داخل Boulevard World بدل المكتب عشان يغير جو الاجتماع شوي.,Boulevard World,"Boulevard(1), World(1)"
لعبنا volleyball مساء أمس واستمتعنا مرة، وقررنا نصير نلعبه كل أسبوع من الحين.,volleyball,volleyball(1)
شفت مراجعات كثيرة عن animation قبل لا أشوفه، وأغلبها كانت إيجابية بشكل لافت.,animation,animation(2)
شفت تخفيضات كبيرة على Uniqlo في التطبيق اليوم، وخلاص قررت أطلب قبل ما تخلص المقاسات.,Uniqlo,Uniqlo(1)
أخوي غيّر جواله وأخذ iPhone أحدث إصدار، وقاعد يفتخر فيه قدام كل الشلة.,iPhone,iPhone(1)
احنا سوينا reps مع بعض عشان نحمس بعض، وضحكنا كثير من كثر التعب.,reps,reps(2)
حجزت حصة marathon جديدة في النادي، وتفاجأت إن مستواي أحسن مما كنت أتوقع.,marathon,marathon(1)
رحت Hub الصبح و U Walk العصر، يوم تسوق كامل خلاني أتعب بس استمتعت فيه.,"Hub, U Walk","Hub(1), U(2), Walk(2)"
شفت زميلتي عند Dunkin وسلمت عليها بسرعة وأنا رايح، لأنه ما كان عندي وقت أقعد أسولف.,Dunkin,Dunkin(2)
المدربة نصحتني أزيد sit ups تدريجيًا كل أسبوع، عشان ما أتعرض لإصابة مفاجئة.,sit ups,"sit(1), ups(1)"
أول ما دخلت الجيم ما كنت أعرف أسوي bench press صح، لين علمني مدربي بالتفصيل.,bench press,"bench(1), press(1)"
كل ما أروح ذاك الكافيه أطلب cheesecake لأنه مميز عندهم ومختلف عن أي مكان ثاني.,cheesecake,cheesecake(2)
خسرنا مباراة padel بس استمتعنا باللعب كثير، وقررنا نرجع نلعب بنفس الفريق.,padel,padel(2)
حجزت حصة karate جديدة في النادي، وتفاجأت إن مستواي أحسن مما كنت أتوقع.,karate,karate(1)
نزلت series على جوالي عشان أتابعه بره البيت، ولقيته أحسن بكثير من اللي توقعته.,series,series(2)
احتفلنا بتخرجها في مطعم وسط Colours ، وكانت الأمسية من أحلى الليالي هالسنة.,Colours,Colours(2)
الشركة عطتنا bonus على الأداء هالربع، وكانت مفاجأة حلوة لكل الفريق.,bonus,bonus(1)
صاحبي مهووس بسيارات Mercedes ما يشتري غيرها أبدًا، ويتابع كل إصدار جديد يطلعونه.,Mercedes,Mercedes(1)
اشتريت حذاء Skechers جديد وكان مريح مرة، لدرجة إني نسيت إني لابسه طول اليوم.,Skechers,Skechers(1)
قابلت صاحباتي في Elements وقعدنا نتسوق لين الليل، وكانت جلسة حلوة بعد فترة ما شفناهم.,Elements,Elements(2)
برنامج الـ onboarding استمر أسبوع كامل قبل ما أبدأ شغلي الفعلي، وكان مفيد جدًا.,onboarding,onboarding(2)
خلصت interview قبل ما أبدأ project المهم، وحسيت إني أنجزت يوم كامل بمعنى الكلمة.,"interview, project","interview(2), project(2)"
زميلي طلب brownie على الفطور وقالي جربه أنت كمان لأنه فعلاً يستاهل التجربة.,brownie,brownie(3)
شفت مراجعات كثيرة عن premiere قبل لا أشوفه، وأغلبها كانت إيجابية بشكل لافت.,premiere,premiere(2)
رحت IKEA أشتري أغراض للمطبخ الجديد، وقعدت فيها أكثر من ساعتين أدور بين الأقسام.,IKEA,IKEA(1)
فتحت playlist وأنا أذاكر عشان أركز أكثر، وفعلاً ساعدني أخلص بسرعة.,playlist,playlist(2)
جربت bagel في رحلتي الأخيرة وحبيته كثير، لدرجة إني دورت عليه لما رجعت البلد.,bagel,bagel(1)
احتفلنا بتخرجها في مطعم وسط Avenues ، وكانت الأمسية من أحلى الليالي هالسنة.,Avenues,Avenues(3)
شفت عرض حلو في Centria وقررت أرجع أشتريه بكرة قبل لا ينتهي العرض.,Centria,Centria(3)
زميلي مكتبه في 66 Cups وأنا في A5 ، فنتقابل بس وقت الغدا لأن المسافة بينا بعيدة شوي.,"66 Cups, A5","66(2), Cups(2), A5(2)"
أجلنا الـ conference لأن المدير كان مسافر هالأسبوع، وحددنا موعد جديد بعد رجوعه.,conference,conference(1)
اشترينا ألعاب LEGO للأطفال بمناسبة العيد، وقعدوا يلعبون فيها من الصبح لين الليل.,LEGO,LEGO(1)
شفت مدربي يسوي tricep extensions بطريقة مختلفة عني تمامًا، فسألته يصححلي وضعيتي.,tricep extensions,"tricep(4), extensions(4)"
قرأت عن VR في مقال ونال اهتمامي كثير، فبديت أدور معلومات أكثر عنه.,VR,VR(1)
قعدت الليلة أتفرج على prequel لين تعبت عيني، بس ما قدرت أوقف لأنه كان مشوق مرة.,prequel,prequel(2)
عندي قطعة من Nike بس أفكر أبدلها بواحدة من Adidas هالسنة، عشان أجرب شي مختلف شوي.,"Nike, Adidas","Nike(1), Adidas(1)"
أول مرة أزور Panorama وكان أكبر مما توقعت بكثير، لدرجة إني تهت وأنا أدور المخرج.,Panorama,Panorama(1)
شفت مراجعات كثيرة عن prequel قبل لا أشوفه، وأغلبها كانت إيجابية بشكل لافت.,prequel,prequel(3)
لقيت فرصة freelance تناسب وقتي هالفترة، فقررت أقدم عليها بدون تردد.,freelance,freelance(1)
قارنا بين محلات Downtown و Uptown قبل ما نقرر وين نشتري، وأخيرًا اخترنا الأقرب لنا.,"Downtown, Uptown","Downtown(1), Uptown(2)"
قياس الأداء عندنا يعتمد على KPI محددة من الإدارة، وتراجع كل ربع سنة.,KPI,KPI(1)
الاجتماع اليوم صار في T6 مو في المبنى المعتاد، وتفاجأت لما وصلت المكان الجديد.,T6,T6(2)
عندي appraisal الساعة عشرة الصبح ولازم أجهز له من الحين، عشان أطلع بأحسن صورة قدامهم.,appraisal,appraisal(3)
أختي انضمت لنادي running قريب من بيتنا، وصارت تروح ثلاث مرات بالأسبوع.,running,running(1)
احنا قعدنا نتفرج thriller كامل بليلة وحدة، وما حسينا بالوقت وهو يمر.,thriller,thriller(4)
سويت pull downs اليوم في الجيم وحسيت بألم بعدها، بس عرفت إني اشتغلت صح على العضلة.,pull downs,"pull(1), downs(1)"
احنا قعدنا نتفرج season finale كامل بليلة وحدة، وما حسينا بالوقت وهو يمر.,season finale,"season(2), finale(2)"
الفطور كان فيه ice cream sundae والعشاء steak ، يوم أكل كامل ما نسيته بسهولة.,"ice cream sundae, steak","ice(2), cream(2), sundae(2), steak(1)"
رحنا مطعم جديد بالحي وجربنا chai latte لأول مرة، وصراحة فاق توقعاتي بشكل واضح.,chai latte,"chai(2), latte(2)"
رحنا مطعم جديد بالحي وجربنا cheesecake لأول مرة، وصراحة فاق توقعاتي بشكل واضح.,cheesecake,cheesecake(3)
بديت أتمرن مع personal trainer من شهرين وتحسنت كثير، وصار عندي انضباط أكثر من قبل.,personal trainer,"personal(1), trainer(1)"
المدرب زاد شدة spin class هالأسبوع، وحسيت بفرق واضح من أول حصة.,spin class,"spin(1), class(1)"
رحنا مطعم جديد بالحي وجربنا espresso لأول مرة، وصراحة فاق توقعاتي بشكل واضح.,espresso,espresso(1)
أول مرة أزور Elements وكان أكبر مما توقعت بكثير، لدرجة إني تهت وأنا أدور المخرج.,Elements,Elements(3)
أختي معجبة بـ premiere وتتابعه أول بأول، وتحاول ما تفوت ولا حلقة.,premiere,premiere(3)
بديت بـ CrossFit وبعدين حولت لـ padel لأنه أخف على جسمي، ولاحظت فرق واضح بالراحة.,"CrossFit, padel","CrossFit(1), padel(3)"
أرسلت report للعميل وانتظرت رده طول اليوم، بس ما جاني رد إلا قبل الدوام.,report,report(1)
أمي سوت affogato على طريقتها الخاصة وصار ألذ من أي مطعم مشهور جربناه من قبل.,affogato,affogato(1)
قعدت أشتغل في A7 طول الصبح لين وقت الغدا، وما لحقت أطلع أستراحة إلا مرة وحدة.,A7,A7(1)
كل يوم اثنين أسوي bicep curls قبل التمرين الرئيسي، عشان أسخن العضلة صح.,bicep curls,"bicep(2), curls(2)"
أبوي وداني Panorama عشان أشتري ملابس العيد، وقعدنا فيه أكثر مما خططنا.,Panorama,Panorama(2)
ما توقعت إن Disney+ بيعجبني كذا لين جربته، والحين صار من المفضلة عندي.,Disney+,Disney+(2)
شفت تخفيضات كبيرة على Crocs في التطبيق اليوم، فقررت أشتري قبل ما ينتهي العرض.,Crocs,Crocs(1)
أختي معجبة بـ Netflix وتتابعه أول بأول، وتحاول ما تفوت ولا حلقة.,Netflix,Netflix(1)
شاركت في بطولة football وطلعت من الأدوار الأولى، بس استفدت خبرة تفيدني قدام.,football,football(1)
صاحبي رشح لي thriller وقالي ما بتندم أبدًا، وفعلاً كان محق في كلامه.,thriller,thriller(5)
رحت من T5 إلى A2 مشي عشان أوصل الاجتماع بسرعة، ووصلت بالكاد قبل ما يبدأ.,"T5, A2","T5(1), A2(2)"
صاحبي علمني plank بطريقة صحيحة تحمي الظهر، وصرت أطبقها في كل حصة.,plank,plank(1)
طلب مني المدير أحضر workshop بخصوص المشروع الجديد، رغم إني كنت مشغول ذاك اليوم.,workshop,workshop(2)
عندي training الساعة عشرة الصبح ولازم أجهز له من الحين، عشان أطلع بأحسن صورة قدامهم.,training,training(3)
سجلت في دوري padel مع فريق الحي، وبديت أتمرن بجدية أكثر من قبل.,padel,padel(4)
جربت ribeye في رحلتي الأخيرة وحبيته كثير، لدرجة إني دورت عليه لما رجعت البلد.,ribeye,ribeye(1)
طلبت قهوة من Dunkin وقعدت أراجع الإيميلات المتأخرة، لين ما خلصت كل شي كان متراكم.,Dunkin,Dunkin(3)
اشتريت حذاء Nike جديد وكان مريح مرة، لدرجة إني نسيت إني لابسه طول اليوم.,Nike,Nike(2)
صاحبي مهووس بسيارات Honda ما يشتري غيرها أبدًا، ويتابع كل إصدار جديد يطلعونه.,Honda,Honda(1)
دخلت من Gate G5 لأنه أقرب بوابة للموقف اليوم، وكسبت وقت كنت محتاجه للاجتماع.,Gate G5,"Gate(1), G5(1)"
طلبت قهوة من Claro وقعدت أراجع الإيميلات المتأخرة، لين ما خلصت كل شي كان متراكم.,Claro,Claro(2)
خسرنا مباراة badminton بس استمتعنا باللعب كثير، وقررنا نرجع نلعب بنفس الفريق.,badminton,badminton(1)
المطعم الجديد يقدم ice cream sundae بطريقة مختلفة عن اللي نعرفه، وصراحة الفكرة عجبتني كثير.,ice cream sundae,"ice(3), cream(3), sundae(3)"
قعدت أشتغل في A5 طول الصبح لين وقت الغدا، وما لحقت أطلع أستراحة إلا مرة وحدة.,A5,A5(3)
احنا سوينا sit ups مع بعض عشان نحمس بعض، وضحكنا كثير من كثر التعب.,sit ups,"sit(2), ups(2)"
ما توقعت إن YouTube بيعجبني كذا لين جربته، والحين صار من المفضلة عندي.,YouTube,YouTube(1)
رحنا Centria عشان نتمشى ونشوف العروض الجديدة، وقعدنا هناك لين وقت متأخر من الليل.,Centria,Centria(4)
سويت lat pulldown اليوم في الجيم وحسيت بألم بعدها، بس عرفت إني اشتغلت صح على العضلة.,lat pulldown,"lat(1), pulldown(1)"
